Point ID,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude
0,0.42,0,0,0.42,0,0,0,0
1,0.42,1.9974e-12,0,0.42,4.58124e-16,3.35382e-15,0,3.38496e-15
2,0.42,0.0170677,0,0.420347,2.42822e-06,2.84652e-05,0,2.85686e-05
3,0.42,0.0354198,0,0.421491,7.24084e-06,6.26523e-05,0,6.30693e-05
4,0.42,0.0363206,0,0.421568,7.58187e-06,6.4399e-05,0,6.48438e-05
5,0.42,0.0367729,0,0.421607,8.00861e-06,6.58722e-05,0,6.63572e-05
6,0.42,0.0411943,0,0.422015,1.15745e-05,8.27227e-05,0,8.35286e-05
7,0.42,0.0550203,0,0.423589,2.21993e-05,0.000134581,0,0.0001364
8,0.42,0.0569804,0,0.423848,2.39359e-05,0.00014656,0,0.000148501
9,0.42,0.0725956,0,0.426228,5.14587e-05,0.000254985,0,0.000260126
10,0.42,0.0820987,0,0.427949,6.59318e-05,0.000349487,0,0.000355652
11,0.42,0.0901964,0,0.429576,8.54038e-05,0.00043361,0,0.00044194
12,0.42,0.107369,0,0.433507,0.000120052,0.000671279,0,0.00068193
13,0.42,0.107814,0,0.433617,0.000121352,0.000677533,0,0.000688315
14,0.42,0.108843,0,0.433874,0.000123773,0.000695331,0,0.000706261
15,0.42,0.125477,0,0.438343,0.000157841,0.000984533,0,0.000997106
16,0.42,0.132668,0,0.440455,0.000168265,0.00113286,0,0.00114529
17,0.42,0.143057,0,0.443695,0.000189626,0.00134253,0,0.00135586
18,0.42,0.157911,0,0.448705,0.000209642,0.00168536,0,0.00169835
19,0.42,0.160671,0,0.449684,0.000214202,0.00174668,0,0.00175976
20,0.42,0.166918,0,0.451953,0.000218893,0.00190177,0,0.00191433
21,0.42,0.178249,0,0.45626,0.000224842,0.00218678,0,0.0021983
22,0.42,0.183231,0,0.458229,0.000222544,0.00232574,0,0.00233636
23,0.42,0.195887,0,0.463435,0.000215585,0.00266021,0,0.00266893
24,0.42,0.208628,0,0.468962,0.000191739,0.0030312,0,0.00303726
25,0.42,0.213537,0,0.471167,0.000181147,0.00316536,0,0.00317054
26,0.42,0.224725,0,0.476342,0.000137934,0.00350186,0,0.00350458
27,0.42,0.231178,0,0.47942,0.000112317,0.00369866,0,0.00370036
28,0.42,0.234008,0,0.480791,9.52513e-05,0.00379376,0,0.00379496
29,0.42,0.248814,0,0.488168,-2.43047e-07,0.00425905,0,0.00425905
30,0.42,0.259388,0,0.493642,-9.55834e-05,0.00462623,0,0.00462722
31,0.42,0.266441,0,0.497384,-0.000161846,0.00485472,0,0.00485741
32,0.42,0.282498,0,0.506167,-0.000362545,0.00543059,0,0.00544268
33,0.42,0.28406,0,0.50704,-0.000382163,0.00548733,0,0.00550062
34,0.42,0.284746,0,0.507425,-0.000393351,0.00551493,0,0.00552894
35,0.42,0.301669,0,0.517111,-0.000673321,0.00615205,0,0.00618879
36,0.42,0.310068,0,0.522056,-0.000849303,0.00650152,0,0.00655675
37,0.42,0.319274,0,0.527576,-0.00104262,0.00686129,0,0.00694006
38,0.42,0.335371,0,0.53747,-0.00146194,0.00755586,0,0.00769599
39,0.42,0.336864,0,0.538403,-0.00150055,0.00761673,0,0.00776314
40,0.42,0.340255,0,0.540531,-0.00160723,0.00776935,0,0.00793385
41,0.42,0.354448,0,0.549576,-0.0020563,0.00841732,0,0.00866485
42,0.42,0.360724,0,0.553644,-0.00229365,0.00873146,0,0.0090277
43,0.42,0.372021,0,0.56107,-0.00271435,0.00927305,0,0.00966215
44,0.42,0.386074,0,0.570485,-0.00332663,0.0100099,0,0.0105482
45,0.42,0.389569,0,0.572856,-0.00347599,0.0101872,0,0.0107639
46,0.42,0.397491,0,0.578273,-0.00386416,0.0106248,0,0.0113057
47,0.42,0.407135,0,0.584944,-0.00433948,0.0111632,0,0.0119769
48,0.42,0.411383,0,0.587908,-0.00457429,0.0114177,0,0.0122999
49,0.42,0.424736,0,0.597328,-0.00529984,0.0122024,0,0.0133037
50,0.42,0.436683,0,0.605881,-0.00601467,0.0129491,0,0.0142778
51,0.42,0.442356,0,0.609982,-0.00634897,0.0132991,0,0.0147369
52,0.42,0.45553,0,0.619602,-0.00718892,0.0141534,0,0.0158745
53,0.42,0.459908,0,0.622828,-0.00746881,0.0144389,0,0.0162562
54,0.42,0.461651,0,0.624116,-0.00758662,0.0145559,0,0.0164143
55,0.42,0.478999,0,0.637056,-0.00875107,0.0157173,0,0.0179893
56,0.42,0.5,0,0.652993,-0.0102211,0.0171519,0,0.0199664
57,0.42,0.484418,0,0.64114,-0.00912912,0.0160878,0,0.0184976
58,0.42,0.51586,0,0.665216,-0.0113467,0.0182342,0,0.0214764
59,0.42,0.517864,0,0.666771,-0.0114897,0.0183698,0,0.0216671
60,0.42,0.529945,0,0.676197,-0.0123487,0.0191868,0,0.0228172
61,0.42,0.53742,0,0.682071,-0.0128717,0.0196769,0,0.023513
62,0.42,0.546674,0,0.689386,-0.0135233,0.0202936,0,0.0243866
63,0.42,0.562379,0,0.701905,-0.014593,0.0212905,0,0.0258116
64,0.42,0.564185,0,0.703353,-0.0147174,0.0214072,0,0.0259783
65,0.42,0.568283,0,0.706644,-0.0149852,0.0216556,0,0.0263348
66,0.42,0.581786,0,0.717548,-0.0158627,0.0224728,0,0.0275073
67,0.42,0.587735,0,0.72238,-0.0162223,0.0228039,0,0.0279853
68,0.42,0.599395,0,0.731897,-0.0169373,0.0234692,0,0.0289427
69,0.42,0.613088,0,0.743154,-0.0177042,0.0241778,0,0.0299667
70,0.42,0.616999,0,0.746383,-0.0179266,0.0243861,0,0.0302662
71,0.42,0.625887,0,0.753747,-0.0183794,0.0248101,0,0.0308763
72,0.42,0.634603,0,0.761,-0.0188214,0.025225,0,0.0314729
73,0.42,0.638435,0,0.764199,-0.0189929,0.0253862,0,0.0317048
74,0.42,0.652184,0,0.775722,-0.019615,0.0259876,0,0.0325592
75,0.42,0.663712,0,0.785438,-0.0200677,0.0264327,0,0.0331873
76,0.42,0.669719,0,0.790521,-0.0203043,0.0266759,0,0.0335241
77,0.42,0.683517,0,0.802244,-0.0207679,0.0271724,0,0.0342001
78,0.42,0.687291,0,0.805462,-0.0208951,0.027308,0,0.0343851
79,0.42,0.688934,0,0.806864,-0.0209423,0.0273611,0,0.0344559
80,0.42,0.704858,0,0.820503,-0.0213889,0.0279092,0,0.0351626
81,0.42,0.714132,0,0.828484,-0.021608,0.0282032,0,0.0355292
82,0.42,0.722438,0,0.835653,-0.0217943,0.0284859,0,0.0358669
83,0.42,0.739414,0,0.850372,-0.0221099,0.0290304,0,0.0364913
84,0.42,0.740022,0,0.850901,-0.0221202,0.0290515,0,0.0365143
85,0.42,0.741313,0,0.852024,-0.0221381,0.0290943,0,0.0365592
86,0.42,0.756511,0,0.86528,-0.022355,0.029602,0,0.0370948
87,0.42,0.763153,0,0.871093,-0.0224338,0.0298177,0,0.0373145
88,0.42,0.773709,0,0.880355,-0.0225373,0.0301871,0,0.0376722
89,0.42,0.787025,0,0.892081,-0.0226415,0.030644,0,0.0381011
90,0.42,0.791204,0,0.89577,-0.022665,0.0307982,0,0.0382391
91,0.42,0.801369,0,0.904761,-0.0227055,0.0311684,0,0.0385617
92,0.42,0.808824,0,0.911371,-0.0227381,0.0314419,0,0.0388023
93,0.42,0.812038,0,0.914224,-0.0227481,0.0315592,0,0.0389032
94,0.42,0.826491,0,0.927086,-0.0227608,0.0321224,0,0.0393688
95,0.42,0.837448,0,0.936867,-0.0227613,0.0325474,0,0.0397167
96,0.42,0.844166,0,0.942877,-0.0227469,0.0328243,0,0.0399357
97,0.42,0.859493,0,0.956624,-0.0227092,0.0334534,0,0.0404331
98,0.42,0.861812,0,0.958707,-0.0227041,0.033549,0,0.0405094
99,0.42,0.862825,0,0.959618,-0.0227018,0.0335908,0,0.0405427
100,0.42,0.879454,0,0.974597,-0.0226324,0.0343124,0,0.0411043
101,0.42,0.888231,0,0.982524,-0.0225999,0.0346922,0,0.0414042
102,0.42,0.897104,0,0.990554,-0.0225515,0.0350945,0,0.0417156
103,0.42,0.913612,0,1.00553,-0.0224765,0.0358408,0,0.0423055
104,0.42,0.91476,0,1.00657,-0.0224696,0.0358948,0,0.0423476
105,0.42,0.917361,0,1.00894,-0.0224572,0.0360168,0,0.0424445
106,0.42,0.932375,0,1.02261,-0.022385,0.0367216,0,0.0430066
107,0.42,0.938952,0,1.02861,-0.0223626,0.0370291,0,0.0432579
108,0.42,0.949535,0,1.03828,-0.0223147,0.0375412,0,0.0436725
109,0.42,0.964969,0,1.05241,-0.0222682,0.0382851,0,0.0442901
110,0.42,0.966343,0,1.05367,-0.022263,0.0383529,0,0.0443462
111,0.42,0.967963,0,1.05516,-0.0222598,0.0384328,0,0.0444137
112,0.42,0.982992,0,1.06896,-0.0222261,0.039167,0,0.0450339
113,0.42,1,0,1.08462,-0.0222182,0.04,0,0.0457564
114,0.42,1,0,1.08462,-0.0222182,0.04,0,0.0457564
